201610  Zechariah       72      77      79
201611  Shemaiah        92      97      98
201612  Azariah 65      53      58
201618  Meshullam       48      55      60
201619  Shimei  81      65      66
201625  Maaseiah        75      72      76
201628  Joel    53      62      65
201635  Jonathan        85      78      83
201645  Hananiah        58      63      65
201645  Joseph  69      80      84
201652  Malchiah        68      72      75
201663  Shallum 97      88      92
201668  Benaiah 100     92      94
201669  Hashabiah       83      85      89
201670  Johanan 89      76      76
201672  Obadiah 67      73      75
201672  Eliezer 75      83      84
201691  John    72      58      59

